vib_x,vib_y,vib_z,temp
-0.63,-4.82,8.55,33.31
-0.59,-4.79,8.47,33.31
-0.59,-4.82,8.55,33.31
-0.55,-4.86,8.51,33.31
-0.59,-4.82,8.47,33.31
-0.59,-4.86,8.43,33.31
-0.55,-4.9,8.59,33.31
-0.51,-4.82,8.59,33.31
-0.55,-4.86,8.51,33.31
-0.59,-4.86,8.43,33.31
-0.55,-4.82,8.59,33.31
-0.59,-4.9,8.39,33.31
-0.59,-4.86,8.55,33.31
-0.51,-4.86,8.51,33.31
-0.51,-4.86,8.51,33.31
-0.51,-4.98,8.63,33.31
-1.33,-5.33,8.32,33.25
-2.08,-4.31,8.67,33.31
-0.43,-4.12,8.55,33.31
-0.04,-4.63,8.43,33.31
-0.12,-5.02,8.39,33.31
-0.04,-5.1,8.36,33.31
-0.2,-5.1,8.36,33.31
-0.35,-4.82,8.59,33.31
-0.35,-4.75,8.51,33.31
-1.14,-4.79,8.55,33.31
-0.94,-4.43,8.75,33.31
-0.67,-4.39,8.79,33.31
-0.55,-4.51,8.75,33.31
-0.24,-4.71,8.63,33.38
-0.2,-4.98,8.39,33.31
-0.16,-4.82,8.47,33.31
-0.35,-4.71,8.55,33.31
-0.71,-4.94,8.51,33.31
-1.1,-4.9,8.51,33.31
-1.14,-4.67,8.67,33.31
-0.16,-4.86,8.55,33.31
0.0,-5.06,8.32,33.31
-0.12,-4.75,8.24,33.31
-0.98,-4.59,8.71,33.31
-0.75,-4.47,8.83,33.31
-0.47,-4.63,8.71,33.31
-0.27,-4.86,8.51,33.31
-0.16,-5.02,8.39,33.31
-0.35,-5.06,8.32,33.31
-1.33,-4.94,8.43,33.31
-1.14,-4.67,8.63,33.31
-0.31,-4.75,8.59,33.31
-0.55,-4.79,8.43,33.31
-1.18,-5.3,8.36,33.31
-0.12,-4.71,8.67,33.25
-0.31,-5.22,8.36,33.31
-0.24,-4.86,8.39,33.31
-0.39,-4.75,8.55,33.31
-0.94,-4.0,8.98,33.31
-0.86,-4.39,8.79,33.31
-0.27,-4.55,8.75,33.31
-1.1,-5.26,8.36,33.31
-0.98,-5.06,8.51,33.31
-0.04,-4.24,8.87,33.31
-0.59,-4.04,8.59,33.31
-0.16,-5.22,8.83,33.31
-0.27,-4.79,8.63,33.31
-0.75,-4.82,8.55,33.31
-0.75,-4.9,8.55,33.25
-0.31,-4.35,8.75,33.31
-0.2,-4.51,8.87,33.31
-0.71,-5.53,8.32,33.31
-0.75,-4.75,8.51,33.31
-0.04,-4.51,8.67,33.31
-0.55,-4.59,8.63,33.25
-0.78,-4.86,8.55,33.25
-0.98,-5.06,8.39,33.31
-0.75,-4.55,8.67,33.38
-0.51,-4.16,8.75,33.38
-0.82,-5.06,8.63,33.31
-1.14,-5.22,8.39,33.31
-0.39,-4.28,8.98,33.31
-0.2,-4.43,8.71,33.31
-1.02,-4.67,8.9,33.31
-0.82,-4.79,8.55,33.31
0.0,-4.04,9.1,33.31
-0.35,-3.88,9.06,33.31
-0.9,-4.63,8.75,33.31
-0.75,-4.51,8.79,33.31
-0.27,-4.08,8.94,33.31
0.04,-4.9,8.32,33.31
-0.43,-5.3,8.32,33.31
-0.51,-3.96,9.1,33.31
-0.2,-4.59,8.79,33.31
0.31,-4.79,8.32,33.31
-0.59,-5.26,8.36,33.31
-1.02,-4.94,8.47,33.38
-0.63,-4.47,8.75,33.38
-0.43,-3.84,9.02,33.31
-0.98,-5.3,8.32,33.38
-0.86,-4.75,8.67,33.31
-0.43,-4.2,8.87,33.38
-1.06,-5.06,8.47,33.38
-0.71,-4.67,8.67,33.38
-0.27,-4.12,8.94,33.38
-0.51,-4.63,8.59,33.38
-1.06,-5.06,8.43,33.38
-0.71,-4.31,8.67,33.38
-0.31,-4.24,8.87,33.38
-0.16,-4.04,8.87,33.38
-0.12,-5.33,8.2,33.38
-0.98,-5.26,8.43,33.38
-0.24,-4.31,8.83,33.38
-0.27,-4.08,8.94,33.38
-0.43,-5.3,8.36,33.38
-0.63,-4.51,8.98,33.38
-1.1,-5.26,8.39,33.38
-0.9,-4.39,8.75,33.38
-0.16,-4.08,8.94,33.38
-0.94,-5.26,8.28,33.38
-0.94,-4.71,8.71,33.38
-0.27,-4.08,8.94,33.38
0.2,-4.79,8.2,33.38
-1.02,-4.71,8.39,33.38
-0.43,-3.92,8.94,33.38
0.2,-4.75,8.51,33.38
-0.2,-5.1,8.36,33.38
-0.75,-4.35,8.87,33.38
0.0,-4.31,8.83,33.38
0.04,-5.02,8.28,33.38
-0.9,-5.26,8.36,33.38
-0.35,-4.12,8.43,33.38
-0.31,-4.16,8.87,33.38
-0.04,-4.39,8.63,33.38
-0.55,-5.18,8.24,33.38
-1.02,-5.22,8.47,33.38
-1.06,-4.79,8.79,33.38
0.16,-4.12,8.9,33.38
-0.12,-5.3,8.2,33.38
-0.86,-5.02,8.71,33.38
-0.75,-4.43,8.94,33.38
-0.43,-4.16,9.06,33.38
-0.55,-5.49,8.47,33.38
-1.06,-5.14,8.63,33.38
-0.59,-4.12,8.9,33.44
-0.47,-4.04,8.98,33.44
0.12,-5.1,8.32,33.44
-0.86,-4.79,8.59,33.38
-0.31,-3.92,9.1,33.44
0.08,-4.82,8.39,33.44
-1.1,-5.22,8.47,33.38
-0.98,-4.59,8.79,33.38
0.04,-4.9,8.39,33.44
-0.59,-5.22,8.63,33.44
-0.9,-5.41,8.32,33.44
-0.47,-4.24,8.79,33.38
-0.75,-5.37,8.28,33.44
-1.02,-5.02,8.47,33.44
-0.43,-3.88,8.94,33.44
-0.94,-5.33,8.63,33.44
-0.98,-5.3,8.51,33.44
-0.47,-3.92,9.02,33.44
0.12,-4.82,8.36,33.44
-0.43,-5.22,8.39,33.44
-0.71,-4.94,8.55,33.44
0.0,-4.2,8.9,33.44
-0.63,-5.22,8.2,33.44
-1.14,-4.86,8.67,33.44
-0.55,-4.75,8.55,33.44
-0.39,-4.63,7.37,33.44
-1.02,-5.14,8.47,33.44
-0.71,-4.12,8.9,33.44
-0.27,-3.96,9.22,33.44
-0.63,-5.33,8.55,33.44
-0.98,-4.67,8.67,33.44
-0.51,-3.65,9.14,33.44
-0.31,-4.79,8.47,33.44
0.04,-4.94,8.87,33.44
-0.78,-5.33,8.47,33.44
-0.86,-4.51,8.79,33.44
0.08,-4.2,8.75,33.44
-0.86,-5.3,8.28,33.44
-0.78,-4.39,8.75,33.44
0.16,-4.2,8.79,33.44
-0.55,-5.1,8.28,33.44
-0.78,-5.14,8.87,33.38
-0.35,-3.84,9.06,33.38
-0.43,-4.86,8.43,33.44
-1.1,-5.3,8.43,33.44
-0.35,-3.77,8.83,33.44
-0.35,-5.18,8.16,33.44
-0.67,-5.22,8.32,33.44
-0.98,-4.59,8.63,33.44
-0.39,-4.47,8.71,33.38
-0.75,-5.33,8.47,33.38
-1.06,-5.02,8.71,33.44
-0.47,-4.04,8.98,33.38
-1.02,-5.33,8.32,33.44
-1.1,-4.71,8.71,33.44
0.08,-4.12,9.06,33.44
-1.02,-4.71,8.51,33.44
-0.78,-4.79,8.98,33.38
-0.47,-3.88,8.94,33.44
0.2,-4.9,8.36,33.44
-0.94,-4.55,8.75,33.44
-0.39,-3.77,9.18,33.44
0.16,-4.9,8.2,33.44
-0.82,-5.53,8.04,33.44
-0.24,-5.02,8.51,33.44
0.59,-4.79,8.47,33.44
-0.9,-5.41,8.28,33.44
-0.98,-4.98,8.47,33.44
-0.47,-4.31,8.87,33.38
0.75,-3.77,9.22,33.44
-1.22,-5.18,8.43,33.44
-0.27,-3.88,8.87,33.44
-0.63,-5.3,8.2,33.44
-1.26,-5.3,8.51,33.44
-0.82,-5.14,8.79,33.44
-0.16,-5.06,8.79,33.44
-0.98,-5.33,8.43,33.44
-0.2,-4.08,8.98,33.44
0.08,-4.94,8.28,33.44
-0.78,-4.51,8.75,33.44
-0.12,-4.12,8.87,33.44
-0.12,-5.06,8.32,33.44
-1.22,-5.3,8.43,33.44
-0.86,-4.67,8.63,33.44
0.2,-4.9,9.02,33.44
-0.78,-5.57,8.12,33.44
-1.02,-5.02,8.47,33.44
-0.51,-4.12,8.87,33.44
-0.04,-4.55,8.59,33.44
-0.71,-5.33,8.2,33.44
-0.55,-3.92,8.71,33.44
0.2,-4.79,8.59,33.44
-0.24,-5.14,8.16,33.44
-1.1,-5.22,8.39,33.44
0.24,-4.51,8.87,33.44
-0.59,-5.06,8.47,33.44
-1.1,-5.3,8.32,33.44
-0.86,-4.47,8.75,33.44
-0.51,-4.82,9.14,33.44
-0.78,-5.37,8.28,33.44
-1.33,-4.55,8.43,33.38
0.0,-4.2,8.87,33.44
-1.06,-5.45,8.36,33.44
-0.9,-4.86,8.55,33.44
-0.51,-4.0,8.98,33.5
-0.55,-4.31,8.79,33.44
